Assemblage_Name	4323312-1551633-2	1-2024754-2	5779309-4-2	1-4-7674352	1-974445-2	6679848-4-7514734	6679848-4-8205268	3-1855123-2	5928704-4-2	8997584-1378694-2	3383497-3-2	4323312-5317516-2	1-9212049-2	8183829-4-293667	1807193-3-2	1-3070901-2	1075517-1861271-2	1-743540-2	8526481-8323362-2	3-616219-2	2-1861271-395765	6679848-4-5479228	8183829-4697135-1375067	6679848-4-5138517	8183829-3812629-1375067	2-2702819-4	2-1861271-2	8183829-4-1375067	0-6804467-2	1-3051548-2	3-1443531-2	3-3-0	3-3-2	8526481-8323362-3655366	8000041-3-1685540	6463529-4-1	2-4026024-9741356	6679848-335503-1	1-1378694-2	2223877-2024754-2	7404154-8323362-2	0-2557596-2	1-4749419-2	2-696962-2	3058511-4-1375067	9150542-2702819-4	2-3871790-4	6679848-3179360-1	1-7966038-2	6679848-4-1	8183829-4-2698731	3359406-4-1375067	8183829-4-6220572	1-4-6057283	6679848-9275364-1	6679848-401269-1	6679848-2020901-1	6679848-4-2413595	1-4-8889120	5149444-2702819-4	7882886-8323362-2	8183829-3184763-1375067	2526075-4-1375067	4323312-697502-2	8554274-6804467-2	6679848-4-9206456	2592458-4-2	6679848-4305375-6466630	1-3-4	1-3176395-2	3-709499-0	3-3-7406791	2-7607840-2	0-7914178-2	6679848-8937437-2413595	1-4-2	2-4994291-4	3-3-6663188	607545-4-1375067	6841790-4-2	3-1466415-2	2-8323362-2	3-3-1903600	8000041-3-2	1-7483987-2	1-0-2	7183761-8323362-2	8744378-4-2	6679848-4-7794888	3347282-3-2	6679848-4-6152487	8335521-6804467-2	6679848-4-1499273	6679848-8971317-1	7788375-8323362-2	4323312-0-9779735	6679848-4994425-1	7462250-8323362-2	1766313-4-1	2-1861271-181575	8183829-586700-1375067	3-3-2579101	4536742-4-2319018	1-9212049-8209624	2592458-4600168-2	1-2027278-2	2-2702819-3605460	8183829-9237250-1375067	2442453-4-2	3-5363621-6663188	4323312-0-2	7882886-8323362-8297806	2-4122396-2	1-4-5534294	7882886-8323362-9476277	1-8026806-2	1943783-8323362-2	6679848-4-842907	6745384-4-1	6679848-4-6466630	3-4157224-0	8636896-1861271-2	6679848-8853629-1
assemblage-472-392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	92	29	0	0	56	16	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	12	0	0	0	0	0	61	0	0	0	0	0	36	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	58
assemblage-446-389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	65	5	0	0	8	26	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	63	0	0	0	38	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	31
assemblage-486-541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	99	18	0	0	40	21	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	14	0	0	0	9	0	86	0	0	0	0	0	44	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	33
assemblage-613-581	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	5	12	0	0	0	0	0	0	0	0	37	0	14	0	0	0	103	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0	0	0	0	16	0	20	0	0	0	0	0	0	0	0	0	0	0	0	38	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	22	0	0	0	0	0	0	0	0	0	0	0	40
assemblage-503-562	0	0	24	0	7	0	0	14	0	10	0	0	61	0	0	0	0	21	0	0	0	0	0	12	0	0	20	7	0	0	0	0	43	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	4	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	61
assemblage-396-594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	72	19	0	0	45	12	0	0	0	0	0	22	0	0	0	0	0	0	0	14	0	7	68	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	7	0	0	11	0	0	0	0	0	69	0	0	0	0	0	52	0	0	0	18	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39
assemblage-345-414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	105	25	0	0	41	20	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	14	4	0	0	0	0	63	0	0	0	0	0	56	0	0	0	19	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	37
assemblage-365-367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	18	0	0	0	20	50	7	0	0	0	41	0	0	0	0	0	14	0	0	0	6	0	5	0	0	0	0	188	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	25	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	37
assemblage-553-459	0	0	13	0	14	0	0	16	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	49	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	1	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	26	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	44
assemblage-471-212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	62	2	0	0	11	30	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	61	0	0	0	56	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	45
assemblage-505-378	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	16	0	0	0	0	0	0	0	0	37	0	27	0	0	0	70	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	136	0	0	0	0	0	0	0	0	0	0	19	0	9	0	0	0	0	0	0	0	0	0	0	0	0	44	0	7	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	22	0	0	0	0	0	0	0	0	0	0	0	41
assemblage-589-392	0	5	0	0	12	0	0	19	0	0	0	0	50	0	0	0	0	25	0	0	0	0	0	7	0	0	29	14	0	0	0	0	70	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	37	0	10	0	0	0	0	0	0	0	0	0	0	0	0	46	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	43
assemblage-648-407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	54	5	0	0	24	27	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	94	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	54	0	0	0	44	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	41
assemblage-626-554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	72	19	0	0	45	9	0	0	0	0	0	26	0	0	0	0	0	0	0	9	3	6	52	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	14	0	0	20	0	0	0	0	0	70	0	0	0	0	0	52	0	0	0	26	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	37
assemblage-531-387	0	0	18	0	9	0	0	16	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	33	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	41	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	56
assemblage-383-552	0	0	11	0	9	0	0	16	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	9	0	0	33	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	79	0	0	0	10	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	7	0	21	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	3	35
assemblage-525-530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	9	0	0	0	10	52	0	0	0	0	57	0	0	0	0	0	15	0	0	0	19	0	0	0	0	0	0	184	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	8	0	0	22	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	61
assemblage-543-450	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	5	28	94	1	0	0	0	25	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	31	0	0	0	21	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	47
assemblage-365-560	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	16	27	5	0	0	0	59	0	0	0	0	0	16	0	0	0	12	0	0	0	0	0	0	193	0	0	0	0	0	0	0	16	0	0	13	0	11	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	47
assemblage-696-222	0	12	0	0	6	0	0	23	0	0	0	0	34	0	0	0	0	18	0	0	0	0	0	6	0	0	44	7	0	0	0	0	40	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	60	0	10	0	0	0	0	0	0	0	0	0	0	0	0	53	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	6	40
assemblage-393-475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	53	21	0	0	46	10	0	0	0	0	0	18	0	0	0	0	0	0	0	18	5	10	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	7	0	0	0	0	0	64	0	0	0	0	0	53	0	0	0	23	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	2	0	40
assemblage-703-427	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	58	0	0	0	0	29	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	145	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	34	0	0	0	44	0	0	0	0	0	20	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	53
assemblage-394-542	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	19	0	0	0	0	0	6	0	0	28	0	17	0	0	0	78	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	5	10	0	0	11	0	8	0	0	0	0	0	0	0	0	0	0	0	0	44	0	21	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	40
assemblage-619-342	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	17	0	0	0	0	0	9	0	0	30	0	10	0	0	0	80	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	8	0	0	18	0	9	0	0	0	0	0	0	0	0	0	0	0	0	41	0	19	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	22	0	0	0	0	0	0	0	0	0	0	0	37
assemblage-681-571	0	0	12	0	7	0	0	27	5	6	0	0	72	0	0	0	0	21	0	0	11	0	0	4	0	0	17	0	0	0	0	0	34	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	5	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	11	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	5	40
assemblage-534-324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	18	78	3	0	0	0	35	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	30	0	0	0	23	0	0	0	0	0	19	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	52
assemblage-665-539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	60	10	0	0	14	21	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	48	0	0	0	54	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	22
assemblage-621-693	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	11	0	0	0	0	0	0	0	0	36	0	27	0	0	0	74	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	141	0	0	0	0	0	0	0	7	0	0	20	0	9	0	0	0	0	0	0	0	0	0	0	0	0	51	0	11	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	46
assemblage-349-494	0	0	0	0	0	0	0	0	0	0	0	11	28	0	0	0	0	21	0	0	0	0	0	3	0	0	34	0	13	0	0	0	70	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	151	0	0	0	0	0	0	0	3	0	0	14	0	22	0	0	0	0	0	0	0	0	0	0	0	0	42	0	6	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	22	0	0	0	0	0	0	0	0	0	0	0	29
assemblage-580-655	0	0	14	0	7	0	0	9	0	0	0	0	65	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	5	0	0	25	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	7	0	0	0	110	0	0	0	0	0	0	0	0	0	0	31	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	36	0	6	49
assemblage-582-447	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	21	21	6	0	0	0	73	0	0	0	0	0	8	0	0	0	9	0	0	0	0	0	0	229	0	0	0	0	0	0	0	3	0	0	5	0	16	6	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	31
assemblage-390-620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	87	22	0	0	42	9	0	0	0	0	0	13	0	0	0	0	0	0	0	19	0	11	62	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	5	0	0	2	0	0	50	0	0	0	0	0	61	0	0	0	14	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45
assemblage-543-638	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	17	0	0	0	0	0	9	0	0	35	0	16	0	0	0	81	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0	0	0	0	18	0	5	0	0	0	0	0	0	0	0	0	0	0	0	43	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	13	0	0	0	0	0	0	0	0	0	0	0	50
assemblage-645-556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	76	15	0	0	56	11	0	0	0	0	0	27	0	0	0	0	0	0	0	15	0	10	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	71	0	0	0	0	0	60	0	0	0	30	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38
assemblage-515-587	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	4	0	0	0	0	0	0	0	0	20	12	8	0	0	0	59	0	0	0	0	0	6	0	0	0	12	0	0	0	0	0	0	234	0	0	0	0	0	0	0	8	0	0	9	0	6	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	47
assemblage-523-494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	83	13	0	0	49	34	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	9	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	21	0	0	0	0	0	53	0	0	0	0	0	49	0	0	0	28	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	31
assemblage-392-572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	74	18	0	0	38	53	0	0	4	0	0	0	0	0	14	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	14	0	0	0	11	0	61	0	0	0	0	0	46	11	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	43
assemblage-575-573	0	8	6	0	11	0	0	15	0	0	0	0	55	0	0	4	0	25	0	0	0	0	0	14	0	0	35	4	0	0	0	0	60	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	49	0	10	0	0	0	0	0	0	0	0	0	0	0	0	34	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41
assemblage-524-415	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	23	20	5	0	0	0	58	0	0	0	0	0	11	0	0	0	7	0	0	0	0	0	0	199	0	0	0	0	0	0	0	14	0	0	18	0	5	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	35
assemblage-489-537	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	24	31	12	0	0	0	44	0	0	0	0	0	4	0	0	0	6	0	0	0	0	0	0	235	0	0	0	0	4	0	0	13	0	0	12	0	5	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	32
assemblage-392-579	0	8	0	0	0	0	0	7	0	0	0	0	37	0	0	0	0	24	0	0	0	0	0	7	0	0	42	6	0	0	0	0	55	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	30	0	13	0	0	0	0	0	0	0	0	0	0	0	0	32	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	12	59
assemblage-551-726	0	0	13	0	7	0	0	18	7	0	0	0	75	0	0	0	0	19	0	0	0	0	0	4	0	0	18	0	0	0	0	0	50	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	8	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	2	64
assemblage-478-397	0	7	0	0	9	0	0	13	0	0	0	0	53	0	0	0	0	18	0	0	0	0	0	13	0	0	24	6	0	0	0	0	47	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	0	0	0	53	0	10	0	0	4	0	0	0	0	0	0	0	0	0	39	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	5	47
assemblage-462-633	0	0	0	0	0	0	0	0	0	0	0	9	25	0	0	0	0	19	0	0	0	0	0	17	0	0	45	0	21	0	0	0	86	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	12	0	0	8	0	10	0	0	0	0	0	0	0	0	0	0	0	0	45	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	10	0	0	0	0	0	0	0	0	0	0	0	56
assemblage-524-551	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	16	0	0	0	0	0	5	0	0	34	0	27	0	0	0	88	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	7	0	0	16	0	3	0	0	0	0	0	0	0	0	0	0	0	0	46	0	14	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	14	0	0	0	0	0	0	0	0	0	0	0	35
assemblage-269-372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	66	18	0	0	54	22	0	0	0	0	0	7	0	0	0	0	0	0	0	12	0	2	72	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	6	0	0	0	0	0	81	0	0	0	0	0	52	0	0	0	24	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41
assemblage-452-335	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	7	22	80	10	0	0	0	14	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	146	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	44	0	0	0	23	0	0	0	0	0	17	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	36
assemblage-433-587	0	0	17	0	13	0	0	13	0	0	0	0	59	0	0	0	0	6	0	0	0	0	0	0	0	0	6	0	0	8	0	0	48	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	25	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	8	48
assemblage-510-497	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	19	0	0	0	0	0	0	0	0	29	0	24	0	0	0	88	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	16	0	13	0	0	0	0	0	0	0	0	0	0	0	0	50	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	17	0	0	0	0	0	0	0	0	0	0	0	59
assemblage-327-510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	70	24	0	0	35	33	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	14	0	0	0	0	0	64	0	0	0	0	0	60	0	0	0	18	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	46
