Assemblage_Name	9167820-2-2	4-2-1445755	2-6443178-1	2-3-2023787	4-3-1327961	3617906-2-2	2-2-1126680	3000724-2457413-1	2-8084595-1	4710359-1325112-2	7976956-1631767-2	2-2457413-2606245	2020644-2457413-1	4-1631767-5100090	4-5867786-2	4-2-8776793	2-2457413-1	2617667-3-1	8737988-2-2	5312224-1631767-2	6280247-3-0	8448364-3-1	2-2-5720163	3-1-4	3693973-2-3	4-4774464-2	2-2749645-8187687	4-2-5897661	7954311-2-2	2-3-7027246	3572673-3-0	44678-6866587-4	2-8084595-1712892	5997621-2-2	2-3-446994	1-0-9538374	0-1-367108	2-9179837-2	6076888-3-0	3-2-3	2-5326923-1	4-1201821-0	2-6791231-1	4-777292-768012	9125475-2-2	6570683-2-2	2-3-8187687	2-3-5289431	2190129-1631767-2	4-6773354-2	4-2-565872	2-9979876-446994	3-6468840-4	2-3-3985054	2-5682334-8187687	2-5682334-6958010	4-3-4063175	3-1-8704070	2-2457413-1954003	4-4178752-5897661	4-8906249-2	2-2457413-637630	1735671-5682334-8187687	5233518-1576431-367108	4-2-2322133	2-2457413-8422497	4690482-2-2	4-2-2678093	6590085-2-2	2-7462033-1	2-945842-1	4944878-2-2	2-3-1	829706-2457413-1	2-3592175-1	3-4-8456237	2-2-4523499	2-2457413-5852949	4-2-3405909	2-2-3	2-2-2	4773040-2-2	4293247-2-4	2-9015560-1	8495836-2457413-1	5730604-2-768012	2-2457413-5977654	3-4-3378054	2-3-6134984	2-3-72017	4-2-2590179	8540486-2457413-1	4-2-3	4-2-2	9889705-2457413-1	3-4-4	3-4-9671514	6989026-2-2	1-0-1	5780462-2-2	2559525-2-2	2-2457413-8165452	2-3208059-7534600	3-4-9886776	2-5401945-8187687	2-3303981-2	4-1631767-2	4-2434667-2	2-4763791-1	72147-2-2	2-5415246-1	5800608-1631767-2	2-2-7264905	4-6866587-4	2-2457413-1707022	1553827-2-768012	4-1325112-2	4-3-0	4-2-768012	2-2-4587999	5727173-2-2	2-2246992-1	2-2-7864912	2-2457413-644575	3-4-4619436	3703156-2-2
assemblage-348-464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	112	0	16	0	0	0	0	0	0	21	0	0	0	0	0	0	9	0	0	0	0	0	0	0	70	39	0	0	0	0	0	0	18
assemblage-698-498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	7	0	0	7	0	0	0	0	50	16	0	0	0	0	0	20	34
assemblage-497-493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	4	9	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	12	58	0	0	0	0	0	0	0	0	0	0	0	0	68	0	39	0	0	0	0	0	0	52	0	0	0	0	0	0	10	0	0	0	0	0	0	0	58	48	0	0	0	0	0	0	32
assemblage-409-524	0	0	14	0	0	0	0	0	0	0	0	0	0	0	16	0	198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	21	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	66	0	0	11	0	0	0	0	28
assemblage-696-326	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	10	0	14	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	35	74	0	0	0	0	0	0	0	0	0	0	0	0	41	0	67	0	0	6	0	0	0	31	0	0	0	0	0	0	6	0	0	0	0	0	0	0	17	8	0	0	0	0	0	0	50
assemblage-404-579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	75	0	5	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	13	0	0	0	0	60	33	0	0	0	0	0	13	32
assemblage-596-514	0	0	19	0	0	0	0	0	0	0	0	0	14	0	23	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	11	0	0	0	0	9	0	0	0	0	0	0	23	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	70	0	0	0	0	0	0	0	15
assemblage-387-549	0	0	16	0	0	0	0	4	10	0	0	0	0	0	0	0	177	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	45	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	8	6	0	0	0	0	0	0	0	0	14	75	0	0	0	0	0	0	0	25
assemblage-612-665	0	0	26	0	0	0	0	11	17	0	0	0	0	0	0	0	168	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	6	0	14	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	62	5	0	0	0	0	0	0	0	0	0	0	0	36	5	0	0	0	0	0	0	0	0	17	20	0	0	0	0	0	0	0	24
assemblage-432-615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	28	0	0	0	0	7	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	9	0	0	12	0	0	0	0	63	29	0	0	0	0	0	13	26
assemblage-767-668	0	0	0	0	0	0	0	0	0	0	0	0	3	0	25	0	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	38	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	53	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	8	0	0	0	0	0	0	26
assemblage-525-510	0	0	12	0	0	0	0	0	0	0	0	0	0	0	23	0	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	36	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	43	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	5	0	0	10	0	0	0	27
assemblage-543-479	0	0	24	0	0	0	0	0	0	0	0	0	0	0	22	0	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	28	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	56	0	0	6	0	0	0	0	24
assemblage-275-306	0	0	22	0	0	0	0	0	0	0	0	0	0	0	19	0	203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	16	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	54	0	0	0	0	0	0	0	33
assemblage-436-616	0	0	17	0	0	0	0	5	2	0	0	0	0	0	0	0	159	0	0	17	0	0	0	0	0	0	0	0	0	24	0	0	0	0	36	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59
assemblage-535-590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	5	0	0	0	0	10	0	0	5	0	0	0	29	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	54	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	11	0	0	6	0	0	0	24
assemblage-496-517	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	104	0	20	0	0	0	0	0	0	27	0	0	0	0	0	0	14	0	0	0	0	0	0	0	42	49	0	0	0	0	0	0	28
assemblage-511-550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	96	0	23	0	0	0	0	0	0	35	0	0	0	0	0	0	2	0	0	0	0	0	0	0	56	30	0	0	0	0	0	0	31
assemblage-565-445	0	0	27	0	0	0	0	0	0	0	0	0	0	0	13	0	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	16	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	56	0	0	0	0	0	0	0	34
assemblage-392-520	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	186	0	0	25	0	0	0	0	0	0	0	0	0	17	0	0	0	0	36	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40
assemblage-529-483	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	12	0	30	0	0	0	5	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	44	64	0	10	0	0	0	0	0	0	0	0	0	0	51	0	43	0	0	7	0	0	0	29	0	0	0	0	0	0	13	0	0	0	6	0	0	0	27	14	0	0	0	7	0	0	24
assemblage-530-503	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	16	0	36	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	16	76	0	0	0	0	0	0	0	0	0	0	0	0	48	0	49	0	0	18	0	0	0	27	0	0	0	0	0	0	2	0	0	0	0	0	0	0	34	10	0	0	0	0	0	0	40
assemblage-663-385	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	18	0	17	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	42	50	0	0	0	0	0	0	0	0	0	0	0	0	67	0	65	0	0	11	0	0	0	36	0	0	0	0	0	0	0	0	0	0	7	0	0	0	28	2	0	0	0	5	0	0	29
assemblage-548-384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	12	82	0	0	0	0	0	0	0	0	0	0	0	0	69	0	37	0	0	0	0	0	0	45	0	0	0	0	0	0	4	0	0	0	0	0	0	0	68	41	0	0	0	0	0	0	35
assemblage-499-650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	94	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	81	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	26	0	0	0	0	0	0	29
assemblage-291-504	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	3	6	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	7	0	14	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0	15	83	0	0	0	0	0	0	0	0	0	0	0	0	55	0	56	0	0	9	0	0	0	29	0	0	0	0	0	0	0	0	0	0	6	0	0	0	22	27	0	0	0	0	0	0	31
assemblage-436-466	0	0	35	0	0	0	0	11	23	0	0	0	0	0	7	0	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	27	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	14	12	0	0	0	0	0	0	0	0	25	42	0	0	0	0	0	0	0	29
