Assemblage_Name	3084741-2419046-3765544	0-6381475-0	2-2-2215092	3084741-2419046-6630412	2-5302001-2	2754600-2-2	9069641-5579210-282613	3084741-3-282613	3084741-1896078-282613	6355734-2-3279107	2-7465897-340746	3084741-3-3338584	6355734-2-2	1-1936102-2	1-2-6242143	9230680-2419046-282613	9069641-4013476-282613	3-1-3	9965688-2419046-282613	1670402-9195664-282613	2-2-5797212	3328090-2-3457470	1560096-3-282613	2091433-2-2	9069641-122859-282613	2-7904548-2	9069641-3-363622	1937021-3958797-282613	2091433-4140576-2	2-2-3276155	2-5636154-340746	2-969350-2	2524371-2-2	5404112-2419046-4741879	2-2-1602713	9069641-3-3331225	1527075-2-2	6355734-8906356-2	3-8007932-282613	8059499-3-363622	96617-1190807-3	1-1223170-2	3084741-9865511-282613	6544055-3-282613	1704133-3-282613	9733857-1-6380708	4510126-3-282613	5911644-2-2	1670402-3-282613	3084741-3-8843184	1-2-3374611	3541602-1936102-2	1937021-3-282613	9636245-1936102-2	96617-5534934-3	3084741-2419046-282613	1-2-2	9733857-1-2	4-3-0	3084741-2419046-4741879	6355734-2-5911017	0-0-228951	1-3021659-2	1-2-4926743	290673-5136569-282613	2-1068255-2	3084741-3628408-282613	2-2-2	1-8252539-2	0-6381475-2365816	1-2843756-2	7748357-1936102-2	2091433-7746675-2	2091433-8011583-2	5272457-2-2	6355734-2-2195679	6355734-2-3313256	3-3-282613	6355734-9564016-2	3084741-3-7414057	3084741-3049164-4741879	7515067-3-4	1-2-7278807	7559090-1190807-3	3084741-2419046-1549966	1846433-3-282613	9069641-4675545-282613	4397321-3-282613	1285776-2-2	2-8784395-2431499	2-2-3457470	2219515-3-282613	6355734-5419555-2	2-3975185-2	9069641-3-6268423	2881911-3-282613	1-2-5416627	7136362-1936102-2	2-2-340746	4886036-0-228951	5568381-3-5860895	8714900-2-2	290673-3-282613	3-4434243-282613	1-7006840-2	3084741-2419046-2266459	1299934-2-2	731999-2419046-4741879	9069641-3-282613	96617-1-3	6355734-6992669-2	4179483-3-3338584
assemblage-429-117	0	0	0	0	0	8	0	61	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	171	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	17
assemblage-794-418	0	0	0	0	0	0	0	92	0	0	0	14	65	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	3	0	0	102	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	14
assemblage-511-700	0	0	0	0	0	0	0	58	0	0	0	0	157	0	0	0	0	0	0	0	0	0	0	5	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	112	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	21
assemblage-396-413	0	0	0	0	0	0	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	23	0	73	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0	22
assemblage-674-596	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	14
assemblage-931-801	0	0	0	0	0	0	0	0	10	0	0	0	14	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	24	0	0	0	22
assemblage-586-303	0	0	0	0	0	0	0	48	0	0	0	0	48	10	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	134	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	15
assemblage-688-589	0	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	16
assemblage-754-613	0	0	0	0	0	0	0	0	0	0	0	0	25	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	29	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	24
assemblage-254-885	0	0	0	0	0	0	0	129	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0	23
assemblage-271-278	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	11	0	0	0	20	57	0	0	0	18	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	0	0	20
assemblage-748-637	0	0	0	0	0	0	0	0	0	0	0	0	26	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	33	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	26
assemblage-122-945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	63	0	0	0	0	0	221	0	0	24
assemblage-424-664	0	0	0	0	0	0	0	0	14	0	0	0	16	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	53	0	0	0	0	0	24	0	0	0	17
assemblage-923-806	0	0	0	0	0	0	0	0	0	0	0	0	259	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	7	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	6	0	42	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	17
assemblage-795-100	0	0	0	0	0	0	0	0	0	0	13	0	63	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	26	0	0	0	67	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	9	0	0	0	0	0	30	0	0	0	0	0	0	0	17	0	0	17	0	0	0	5	0	19	0	0	0	27
assemblage-796-465	0	0	0	0	0	0	0	21	0	0	0	0	73	108	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	60	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	43	0	0	0	0	0	6	0	0	0	7
assemblage-825-948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	13	0	11	0	0	0	0	0	0	0	0	160	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	22
assemblage-262-737	0	0	0	0	0	0	0	84	0	0	0	0	81	52	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	41	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	40
assemblage-428-665	0	0	0	0	0	0	0	0	0	0	0	0	32	158	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	41	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	27
assemblage-901-168	0	0	0	0	0	0	0	82	0	0	0	0	8	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	123	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	122	0	0	18
assemblage-432-143	0	0	0	0	0	20	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	15
assemblage-677-600	0	0	0	0	0	0	0	84	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	139	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	101	0	0	18
assemblage-406-405	0	0	0	0	0	0	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	25	0	68	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	13
