Assemblage_Name	2-2178646-2929769	6135389-3483629-5370887	0-1986131-3	9114405-2-5370887	3842726-3196347-5370887	5413445-2686721-7166169	5370729-2178646-2	3516429-8491317-5370887	2-2144449-5370887	0-6937903-7880373	7922401-2-5370887	4272639-3483629-5370887	4272639-3483629-2781350	0-6937903-3	4272639-3483629-5171579	2-0-5732423	4272639-5864961-5370887	2-3483629-5363307	131975-3483629-5370887	2-3483629-5370887	0-6937903-8904614	7922401-2-3875355	7697511-8491317-5370887	2227462-3483629-5370887	0-4003876-3	4272639-444529-5370887	4-4-6924584	0-6937903-7190351	5178222-6937903-3	2-2178646-2	2-2-5370887	2-5616714-5370887	2-3196347-5370887	3252383-6937903-3	2-6926804-5370887	5890718-6937903-3	131975-3779207-5370887	2039369-3196347-5370887	4272639-886311-5370887	3782831-2686721-8028980	0-6937903-208484	4272639-3483629-408835	2353298-2686721-8028980	0-9207673-3	0-2769945-3	2-2178646-6304226	2-0-1	954789-6937903-3	2-3878585-2	2039369-3660049-5370887	2-0-6747013	2-1939956-5370887	4-3-1	4272639-3483629-7999922	7238860-3196347-5370887	0-7448919-3	2-2178646-3929349	4272639-886311-2672133	1585550-3310323-5370887	4-7232856-2	0-2686721-8884400	4-8412745-2	251922-3310323-4103025	764527-0-1	2-2-3246952	4272639-8491317-5370887	6577449-3-1	0-1353294-3	2-2178646-864817	0-6937903-1746625	2-2720409-4043878	132344-2686721-8028980	0-9263470-3	2-5769568-5370887	4272639-8240722-5370887	2-3483629-8916048	251922-3310323-5370887	4251279-3310323-5370887	9903890-3483629-5370887	3012635-1172497-3	2-2-3838669	7922401-2-6030061	6668124-4-2	2862130-3483629-5370887	4272639-820963-7376708	4272639-3483629-8624579	4272639-3483629-6781213	3278724-3483629-5370887	4272639-820963-5370887	9187551-0-1	2039369-3310323-5370887	0-6937903-6617944	9075013-6926804-5370887	4272639-8010268-5370887	2-1308480-1	3065518-1974455-3	4272639-3483629-8123326	2163167-2-5370887	0-6200074-3	4-4-2	2961052-0-1	0-2686721-7166169	2039369-3310323-797365	4272639-3870803-5370887	0-6937903-5921974	2-2720409-2	4272639-9333255-5370887	2350832-4-2	4272639-3483629-9427536	0-2434548-3	2946390-3483629-5370887	3012635-6937903-3	0-2686721-3632722	377073-4-2	0-2686721-8028980	4272639-9708735-5370887
assemblage-435-396	0	0	0	0	0	0	0	0	9	0	0	0	0	203	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	45	20	0	24	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	24
assemblage-810-118	0	0	14	0	0	0	0	0	0	0	0	0	0	189	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	26	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	10
assemblage-383-267	0	0	0	0	0	0	0	0	0	0	0	5	0	37	0	0	0	0	0	190	0	0	0	0	0	0	0	0	0	64	4	0	0	0	15	0	0	42	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	13
assemblage-237-956	0	0	0	0	0	0	0	0	0	0	0	30	0	144	0	0	0	0	0	6	0	0	0	0	0	0	13	0	0	161	23	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17
assemblage-357-276	0	0	0	0	0	0	0	0	0	0	0	19	0	153	0	0	0	0	0	14	0	0	0	0	0	0	7	0	0	169	29	0	0	7	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17
assemblage-936-352	0	0	0	0	0	0	0	0	0	0	0	279	0	18	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	6	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	5	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	17
assemblage-236-475	0	0	0	0	0	0	0	0	0	0	0	36	0	134	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	14	0	31
assemblage-933-359	0	0	0	0	6	0	0	0	0	0	0	100	0	49	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	42	0	23	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	91	0	0	0	0	0	8	0	0	0	12
assemblage-469-755	0	0	0	0	11	0	0	0	0	0	0	168	0	102	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	11	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
assemblage-879-838	0	0	0	0	17	0	0	0	0	0	0	202	0	119	0	0	0	0	0	14	0	0	0	9	0	0	0	0	0	26	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25
assemblage-894-875	0	0	0	0	0	0	0	0	0	0	0	154	0	12	0	0	0	0	0	31	0	0	0	4	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	17	99	0	30	14	0	0	0	0	0	0	0	0	15
assemblage-362-487	0	0	0	0	0	0	0	0	0	0	0	267	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	20
assemblage-420-841	0	0	0	0	0	0	0	0	0	0	0	349	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21
assemblage-249-343	0	0	0	0	0	0	0	0	0	0	0	163	0	115	0	0	0	0	0	0	0	0	0	12	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	80	0	0	0	0	0	0	11	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
assemblage-331-183	0	0	0	0	0	0	0	0	0	0	0	88	7	176	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
assemblage-226-782	0	0	0	0	0	0	0	6	0	0	0	172	0	97	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	59	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	18	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
assemblage-341-187	0	0	0	0	0	0	0	0	0	0	0	228	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	35	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37
assemblage-367-320	0	0	0	0	0	0	0	0	0	0	0	323	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
assemblage-214-177	0	0	0	0	0	0	0	0	0	0	0	282	0	93	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	73	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
assemblage-564-470	0	0	0	0	0	0	0	0	0	0	0	277	0	89	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	71	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21
